EPR sent,EPR recv,Cast Vote,Votes Sent,Votes recv,Recorded votes,# vote err,% vote err,transmission delay epr,transmission delay voting
1589386664.054701,1589386664.1533692,0.0,1589386664.161681,1589386664.262454,0.0,0,0.0,0.09866809844970703,0.10077309608459473
1589386664.391449,1589386664.4951942,1.0,1589386664.5063329,1589386664.599345,0.0,1,0.5,0.1037452220916748,0.09301209449768066
1589386664.7363431,1589386664.829988,1.0,1589386664.841119,1589386664.841564,1.0,0,0.0,0.09364485740661621,0.0004448890686035156
1589386665.063074,1589386665.159913,0.0,1589386665.1647282,1589386665.1662169,0.0,0,0.0,0.09683895111083984,0.0014886856079101562
1589386665.625854,1589386665.724162,1.1,1589386665.739325,1589386665.829945,1.1,0,0.0,0.09830808639526367,0.09062004089355469
1589386665.983087,1589386666.079883,0.0,1589386666.087116,1589386666.089129,0.0,0,0.0,0.09679603576660156,0.002012968063354492
1589386666.300111,1589386666.39903,0.0,1589386666.406705,1589386666.5070028,0.0,0,0.0,0.09891891479492188,0.10029792785644531
1589386666.636819,1589386666.741039,0.1,1589386666.7520409,1589386666.843356,0.1,0,0.0,0.10422015190124512,0.09131503105163574
1589386667.185952,1589386667.2884889,0.0,1589386667.295413,1589386667.389502,0.0,0,0.0,0.10253691673278809,0.09408903121948242
1589386667.530123,1589386667.6288562,0.1,1589386667.640287,1589386667.738237,0.1,0,0.0,0.09873318672180176,0.09794998168945312
1589386667.867702,1589386667.971339,1.1,1589386667.9859898,1589386668.072414,1.1,0,0.0,0.1036369800567627,0.08642411231994629
